Country,Users,New users,Engaged sessions,Engagement rate,Engaged sessions per user,Average engagement time,Event count,Conversions,Total revenue
India,2781,2776,4283,0.665889303482587,1.5400934915498021,248.78604818410645,66587,2776,0.47063
Pakistan,424,424,597,0.6677852348993288,1.4080188679245282,178.18396226415095,9164,424,0.131804
United States,213,207,258,0.6216867469879518,1.2112676056338028,209.61032863849766,4128,207,0.038545
Bangladesh,209,209,296,0.6505494505494506,1.4162679425837321,196.57894736842104,4395,209,0.030426
Philippines,201,198,277,0.6533018867924528,1.3781094527363185,229.47761194029852,4154,198,0.006716
Greece,172,162,338,0.6627450980392157,1.9651162790697674,312.8546511627907,6595,162,0.895265
Nepal,106,104,150,0.6880733944954128,1.4150943396226414,155.12264150943398,2149,104,0.000172
South Africa,66,64,105,0.695364238410596,1.5909090909090908,219.77272727272728,1510,64,0.004769
United Kingdom,38,34,55,0.6707317073170732,1.4473684210526316,232.8421052631579,776,34,0.213954
Ethiopia,34,34,61,0.6630434782608695,1.7941176470588236,194.02941176470588,977,34,0
Kenya,26,25,33,0.5892857142857143,1.2692307692307692,221.26923076923077,513,25,0
Indonesia,21,21,29,0.6304347826086957,1.380952380952381,220.71428571428572,458,21,0.002434
Malaysia,18,18,27,0.7105263157894737,1.5,347.05555555555554,424,18,0.002109
Sri Lanka,16,16,21,0.65625,1.3125,179.3125,301,16,0.000323
China,13,12,4,0.3076923076923077,0.3076923076923077,2.8461538461538463,51,12,0
Egypt,12,12,19,0.7037037037037037,1.5833333333333333,819.6666666666666,375,12,0
Uganda,12,11,16,0.7619047619047619,1.3333333333333333,229.5,260,11,0.000317
United Arab Emirates,12,12,14,0.8235294117647058,1.1666666666666667,138.66666666666666,184,12,0.127392
Canada,10,9,13,0.7647058823529411,1.3,129.7,186,9,0.006258
Singapore,10,7,8,0.6666666666666666,0.8,541.8,142,7,0
Saudi Arabia,9,9,18,0.72,2,319,246,9,0
South Korea,9,9,14,0.6363636363636364,1.5555555555555556,163.88888888888889,148,9,0
Spain,8,8,8,0.5333333333333333,1,60.625,116,8,0.000327
Romania,7,7,7,0.7777777777777778,1,125,115,7,0
Russia,7,7,5,0.7142857142857143,0.7142857142857143,437.2857142857143,140,7,0
Somalia,7,7,10,0.625,1.4285714285714286,199.28571428571428,127,7,0
France,6,4,7,0.7,1.1666666666666667,152.66666666666666,73,4,0
Myanmar (Burma),6,5,9,0.75,1.5,296.5,119,5,0.000781
Netherlands,6,4,5,0.625,0.8333333333333334,231.83333333333334,121,4,0
Brazil,5,5,10,0.8333333333333334,2,238.2,112,5,0
Germany,5,4,4,0.5714285714285714,0.8,129.2,81,4,0.001064
Iran,5,5,5,0.7142857142857143,1,116.6,73,5,0
Iraq,5,5,4,0.5714285714285714,0.8,351.2,87,5,0
Jamaica,5,5,5,0.5555555555555556,1,115.2,73,5,0
Maldives,5,5,4,0.4444444444444444,0.8,89.4,59,5,0
Nigeria,5,4,12,0.6666666666666666,2.4,421.2,148,4,0
Poland,5,5,5,0.7142857142857143,1,223.2,258,5,0
Zimbabwe,5,5,10,0.7692307692307693,2,113.6,91,5,0
Afghanistan,4,4,4,0.5,1,189,109,4,0
Australia,4,3,4,1,1,106,42,3,0
Belgium,4,4,4,0.6666666666666666,1,239.75,50,4,0
Hungary,4,4,5,0.8333333333333334,1.25,209.5,82,4,0.001383
Japan,4,3,3,0.5,0.75,64.75,53,3,0.000273
Kuwait,4,4,16,0.9411764705882353,4,314.25,260,4,0.001661
Mauritius,4,4,5,0.8333333333333334,1.25,142.5,58,4,0
Tanzania,4,4,9,0.9,2.25,383.5,114,4,0
(not set),3,3,1,0.3333333333333333,0.3333333333333333,12.333333333333334,11,3,0
Azerbaijan,3,3,3,0.75,1,275.6666666666667,42,3,0
Ghana,3,3,4,0.5714285714285714,1.3333333333333333,244,80,3,0
Mexico,3,3,6,0.75,2,339.3333333333333,64,3,0
Sweden,3,3,4,0.6666666666666666,1.3333333333333333,197.66666666666666,66,3,0
Uzbekistan,3,3,3,0.5,1,156.33333333333334,77,3,0.000523
Zambia,3,3,11,0.7857142857142857,3.6666666666666665,374.3333333333333,98,3,0
Algeria,2,2,8,0.7272727272727273,4,396.5,68,2,0
Belize,2,2,7,0.5833333333333334,3.5,675,108,2,0
Bolivia,2,2,2,0.6666666666666666,1,83.5,31,2,0.000716
Botswana,2,2,3,0.75,1.5,219.5,30,2,0
Chile,2,2,2,0.6666666666666666,1,16,16,2,0
Colombia,2,2,3,0.6,1.5,246.5,80,2,0
Eswatini,2,2,5,1,2.5,213,45,2,0
Israel,2,2,1,0.25,0.5,212.5,42,2,0.00535
Jordan,2,2,4,0.8,2,324.5,34,2,0
Lebanon,2,2,2,0.6666666666666666,1,111.5,37,2,0.003812
Oman,2,2,2,0.5,1,77,18,2,0
Peru,2,2,2,0.6666666666666666,1,38,22,2,0
Qatar,2,2,1,0.3333333333333333,0.5,35.5,16,2,0
Syria,2,2,3,0.75,1.5,433.5,72,2,0
Taiwan,2,2,3,1,1.5,149,37,2,0.00094
Vietnam,2,2,2,0.6666666666666666,1,252.5,35,2,0
Austria,1,1,1,0.3333333333333333,1,190,27,1,0
Bahamas,1,1,2,0.6666666666666666,2,417,50,1,0
Bahrain,1,1,1,0.5,1,164,13,1,0
Barbados,1,1,1,1,1,44,12,1,0
Brunei,1,1,1,1,1,79,11,1,0
Cambodia,1,1,2,1,2,600,38,1,0
Czechia,1,1,1,0.5,1,328,23,1,0
Dominican Republic,1,1,1,0.5,1,128,9,1,0
Ecuador,1,1,1,0.5,1,77,12,1,0
Gambia,1,1,3,0.75,3,51,33,1,0
Guyana,1,1,1,1,1,89,16,1,0
Ireland,1,1,1,1,1,585,14,1,0
Kazakhstan,1,1,1,0.5,1,996,13,1,0
Kosovo,1,1,2,0.6666666666666666,2,188,14,1,0
Mongolia,1,1,2,1,2,25,12,1,0
New Zealand,1,1,1,0.5,1,30,9,1,0
Norway,1,1,6,1,6,1009,40,1,0
Portugal,1,1,1,1,1,128,7,1,0
Puerto Rico,1,1,2,0.6666666666666666,2,557,54,1,0.002169
Rwanda,1,1,1,0.3333333333333333,1,498,29,1,0
Réunion,1,1,1,0.5,1,260,23,1,0
Seychelles,1,1,1,1,1,207,15,1,0
Sierra Leone,1,1,4,0.8,4,156,41,1,0
St. Kitts & Nevis,1,1,1,0.5,1,59,16,1,0
St. Lucia,1,1,1,1,1,12,7,1,0
Switzerland,1,1,1,1,1,10,7,1,0
Thailand,1,1,0,0,0,0,4,1,0
Turkey,1,1,1,1,1,109,20,1,0
Turkmenistan,1,1,1,1,1,111,17,1,0
Ukraine,1,1,1,0.5,1,55,14,1,0
Venezuela,1,1,1,0.5,1,106,19,1,0
Yemen,1,1,0,0,0,623,131,1,0
Denmark,0,0,0,0,0,0,1,0,0
