# ----------------------------------------
# Report CSV Export
# Account: Thelouras
# Property: pattern-game-5da2b
# ----------------------------------------
# 
# All Users
# Start date: 20220413
# End date: 20220530
Country,Users,New users,Engaged sessions,Engagement rate,Engaged sessions per user,Average engagement time,Event count,Conversions,Total revenue
Greece,80,70,122,0.6321243523316062,1.525,288.525,1757,70,0
United States,48,48,47,0.5280898876404494,0.9791666666666666,128.8125,757,48,0
India,29,29,36,0.6428571428571429,1.2413793103448276,193.72413793103448,417,29,0
Philippines,6,5,4,0.36363636363636365,0.6666666666666666,88.83333333333333,64,5,0
United Kingdom,4,4,4,0.5714285714285714,1,112.25,45,4,0
Malaysia,2,2,2,1,1,141,25,2,0
(not set),1,1,0,0,0,0,3,1,0
Bangladesh,1,1,1,1,1,13,8,1,0
Belgium,1,1,1,1,1,500,19,1,0
France,1,1,2,0.6666666666666666,2,75,11,1,0
Mauritius,1,1,2,1,2,37,9,1,0
Netherlands,1,1,0,0,0,0,3,1,0
South Korea,1,1,2,1,2,831,16,1,0
Canada,0,0,0,0,0,0,1,0,0
